"","subj","rt_log","valenceE","t1","t2"
"264",10,6.51,0.5,0,1
"265",10,6.66,0.5,0,1
"266",10,6.88,0.5,0,1
"267",10,6.86,0.5,0,1
"268",10,7.17,0.5,0,1
"269",10,6.58,0.5,0,1
"270",10,6.66,0.5,0,1
"271",10,6.53,0.5,0,1
"272",10,6.44,0.5,0,1
"273",10,6.47,0.5,0,1
"274",10,7.17,0.5,0,1
"275",10,6.95,0.5,0,1
"276",10,7.1,0.5,0,1
"277",10,6.87,0.5,0,1
"278",10,6.7,0.5,0,1
"279",10,6.65,0.5,0,1
"280",10,6.41,0.5,0,1
"281",11,6.86,-0.5,1,0
"282",11,7.01,-0.5,1,0
"283",11,6.95,-0.5,1,0
"284",11,7.16,-0.5,1,0
"285",11,7.16,-0.5,1,0
"286",11,7.29,-0.5,1,0
"287",11,6.88,-0.5,1,0
"288",11,6.91,-0.5,1,0
"289",11,7.13,-0.5,1,0
"290",11,7.23,-0.5,0,1
"291",11,6.98,-0.5,0,1
"292",11,7.15,-0.5,0,1
"293",11,6.84,-0.5,0,1
"294",11,6.94,-0.5,0,1
"295",11,6.85,-0.5,0,1
"296",11,7.25,-0.5,0,1
"297",11,6.76,-0.5,0,1
"298",11,6.67,-0.5,0,1
"299",11,6.73,-0.5,0,1
"300",11,6.95,-0.5,0,1
"301",11,6.94,-0.5,0,1
"302",11,6.69,-0.5,0,1
"303",11,7.18,-0.5,0,1
"304",11,7.14,-0.5,0,1
"305",11,7.12,0.5,1,0
"306",11,7.57,0.5,1,0
"307",11,7.25,0.5,1,0
"308",11,7.3,0.5,1,0
"309",11,7.25,0.5,1,0
"310",11,7.13,0.5,1,0
"311",11,7.15,0.5,1,0
"312",11,6.91,0.5,1,0
"313",11,6.92,0.5,0,1
"314",11,6.67,0.5,0,1
"315",11,7.03,0.5,0,1
"316",11,7.57,0.5,0,1
"317",11,6.85,0.5,0,1
"318",12,7.01,-0.5,1,0
"319",12,7.05,-0.5,1,0
"320",12,6.86,-0.5,1,0
"321",12,7.24,-0.5,1,0
"322",12,7.08,-0.5,1,0
"323",12,6.97,-0.5,1,0
"324",12,7.47,-0.5,1,0
"325",12,6.99,-0.5,1,0
"326",12,6.91,-0.5,1,0
"327",12,7.05,-0.5,0,1
"328",12,6.87,-0.5,0,1
"329",12,6.95,-0.5,0,1
"330",12,6.87,-0.5,0,1
"331",12,8.29,-0.5,0,1
"332",12,7.19,-0.5,0,1
"333",12,6.98,-0.5,0,1
"334",12,6.9,-0.5,0,1
"335",12,7.28,-0.5,0,1
"336",12,6.9,0.5,1,0
"337",12,7.48,0.5,1,0
"338",12,7.23,0.5,1,0
"339",12,7.19,0.5,1,0
"340",12,7.26,0.5,1,0
"341",12,6.91,0.5,1,0
"342",12,7.07,0.5,1,0
"343",12,7.11,0.5,1,0
"344",12,6.84,0.5,1,0
"345",12,7.15,0.5,1,0
"346",12,6.97,0.5,0,1
"347",12,6.99,0.5,0,1
"348",12,6.74,0.5,0,1
"349",12,7.25,0.5,0,1
"350",12,7.69,0.5,0,1
"351",12,6.97,0.5,0,1
"352",12,7.32,0.5,0,1
"353",12,7.72,0.5,0,1
"354",12,7.92,0.5,0,1
"355",13,7,-0.5,1,0
"356",13,7.3,-0.5,1,0
"357",13,7.19,-0.5,1,0
"358",13,6.86,-0.5,1,0
"359",13,6.72,-0.5,0,1
"360",13,7.05,-0.5,0,1
"361",13,6.79,-0.5,0,1
"362",13,7.09,0.5,1,0
"363",13,6.58,0.5,1,0
"364",13,6.62,0.5,1,0
"365",13,7.06,0.5,1,0
"366",13,6.8,0.5,1,0
"367",13,6.73,0.5,1,0
"368",13,6.46,0.5,1,0
"369",13,6.91,0.5,1,0
"370",13,6.71,0.5,1,0
"371",13,7.34,0.5,1,0
"372",13,6.55,0.5,1,0
"373",13,6.67,0.5,1,0
"374",13,6.55,0.5,1,0
"375",13,6.78,0.5,1,0
"376",13,6.44,0.5,1,0
"377",13,6.5,0.5,1,0
"378",13,6.73,0.5,1,0
"379",13,6.95,0.5,1,0
"380",13,6.99,0.5,0,1
"381",13,6.28,0.5,0,1
"382",13,6.29,0.5,0,1
"383",13,6.71,0.5,0,1
"384",13,6.59,0.5,0,1
"385",13,6.34,0.5,0,1
"386",13,6.52,0.5,0,1
"387",13,6.27,0.5,0,1
"388",13,6.79,0.5,0,1
"389",13,6.36,0.5,0,1
"390",13,6.5,0.5,0,1
"391",13,6.53,0.5,0,1
"392",13,6.72,0.5,0,1
"393",13,6.44,0.5,0,1
"394",13,6.36,0.5,0,1
"395",13,6.42,0.5,0,1
"396",13,6.63,0.5,0,1
"397",16,7.21,-0.5,1,0
"398",16,7.18,-0.5,1,0
"399",16,7.13,-0.5,1,0
"400",16,7.15,-0.5,1,0
"401",16,7.05,-0.5,1,0
"402",16,7.49,-0.5,1,0
"403",16,6.71,-0.5,1,0
"404",16,7.52,-0.5,1,0
"405",16,7.21,-0.5,1,0
"406",16,6.94,-0.5,1,0
"407",16,6.95,-0.5,1,0
"408",16,7.5,-0.5,1,0
"409",16,6.76,-0.5,1,0
"410",16,6.63,-0.5,0,1
"411",16,7.98,-0.5,0,1
"412",16,7.94,-0.5,0,1
"413",16,6.56,-0.5,0,1
"414",16,6.97,-0.5,0,1
"415",16,6.74,-0.5,0,1
"416",16,6.51,-0.5,0,1
"417",16,6.94,-0.5,0,1
"418",16,7.72,-0.5,0,1
"419",16,7.18,-0.5,0,1
"420",16,8.25,-0.5,0,1
"421",16,7.08,-0.5,0,1
"422",16,6.61,-0.5,0,1
"423",16,7.43,-0.5,0,1
"424",16,6.93,0.5,1,0
"425",16,7.1,0.5,1,0
"426",16,7,0.5,1,0
"427",16,6.91,0.5,1,0
"428",16,6.83,0.5,1,0
"429",16,7.67,0.5,1,0
"430",16,7.25,0.5,1,0
"431",16,8.15,0.5,0,1
"432",16,6.78,0.5,0,1
"433",16,6.68,0.5,0,1
"434",16,7.49,0.5,0,1
"435",16,6.6,0.5,0,1
"436",16,6.73,0.5,0,1
"437",16,7.86,0.5,0,1
"438",16,6.99,0.5,0,1
"439",16,6.59,0.5,0,1
"440",16,7.07,0.5,0,1
"441",17,6.75,-0.5,1,0
"442",17,6.87,-0.5,1,0
"443",17,6.75,-0.5,1,0
"444",17,7.02,-0.5,1,0
"445",17,6.71,-0.5,1,0
"446",17,6.66,-0.5,1,0
"447",17,7.33,-0.5,1,0
"448",17,6.89,-0.5,1,0
"449",17,7.43,-0.5,1,0
"450",17,7.78,-0.5,1,0
"451",17,7.13,-0.5,1,0
"452",17,7.35,-0.5,0,1
"453",17,7,-0.5,0,1
"454",17,6.59,-0.5,0,1
"455",17,6.75,-0.5,0,1
"456",17,6.79,-0.5,0,1
"457",17,6.73,-0.5,0,1
"458",17,7.28,-0.5,0,1
"459",17,6.95,-0.5,0,1
"460",17,6.98,-0.5,0,1
"461",17,6.83,-0.5,0,1
"462",17,7.07,-0.5,0,1
"463",17,6.92,-0.5,0,1
"464",17,6.55,-0.5,0,1
"465",17,7.38,0.5,1,0
"466",17,7.02,0.5,1,0
"467",17,7.19,0.5,1,0
"468",17,7.04,0.5,1,0
"469",17,7.25,0.5,1,0
"470",17,6.62,0.5,0,1
"471",17,7.1,0.5,0,1
"472",17,7.18,0.5,0,1
"473",17,7.24,0.5,0,1
"474",17,6.77,0.5,0,1
"475",18,7.29,-0.5,1,0
"476",18,7.05,-0.5,1,0
"477",18,7.1,-0.5,1,0
"478",18,8.09,-0.5,1,0
"479",18,7.07,-0.5,1,0
"480",18,7.02,-0.5,1,0
"481",18,8.22,-0.5,1,0
"482",18,6.64,-0.5,1,0
"483",18,6.83,-0.5,0,1
"484",18,7.02,-0.5,0,1
